"","k","N","NF","NM","SDF","SDM","lam01","lam02","sig1","sig2","SDFS","SDFL","SDMS","SDML","truesig1","truesig2","truelam01","truelam02","N1CI","N2CI","Sig1CI","Sig2CI","Lam01CI","Lam02CI","TrueNF","TrueNM","Model"
"40",44,0,346,160,42.0472361880204,39.062136072337,0.0724654769149821,0.0353001247621817,0.524440649560004,0.921290787033048,0.0468415608348905,0.011276812293906,0.119372002912961,0.00775799423928661,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,271,173,"BandSMR"
"41",45,0,339,270,39.0021148814357,29.9054047802633,0.0795169569678403,0.0174011550446639,0.583823427445666,0.99636774791474,0.0384609107454353,0.0108648733965057,0.151201109988299,0.00550232414199449,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,267,178,"BandSMR"
"42",46,0,284,251,54.6669837488326,36.218022667486,0.0646250886014625,0.0311799462242311,0.624671396850054,0.812171018076685,0.0645244138880103,0.011619595869247,0.0848360459732725,0.00677804291920025,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,269,176,"BandSMR"
"43",47,0,381,218,22.030746553396,37.6273208291141,0.0598664647970382,0.0280182005786943,0.580135860973481,0.908265823869334,0.0440910416363896,0.00965291006298057,0.099993927632853,0.00611427773644871,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,268,183,"BandSMR"
"44",48,0,364,228,33.4048363460573,43.0358778002002,0.0690898291222885,0.0239598312599471,0.562876797629442,0.950097441327357,0.0418860545680754,0.0113394806735107,0.134158926445119,0.00667567133051881,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,261,171,"BandSMR"
"45",49,0,294,279,46.2655872227396,23.6663804087423,0.0924065725320596,0.0326436105571739,0.548904334045875,0.767797194217045,0.0409214790868185,0.0146261582909284,0.0902326365773794,0.00776109136185248,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,263,173,"BandSMR"
"46",5,0,304,257,45.693100301648,32.3354980144821,0.0863909287206272,0.0254629995488627,0.56786248292249,0.80797466206408,0.0424400670116074,0.0125348254183279,0.0983148842337028,0.00596802336039406,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,272,173,"BandSMR"
"47",50,0,337,103,38.6760572923704,23.4500716548415,0.0681691408035644,0.0438744536402591,0.605330947492625,1.07037906299186,0.0465825187436225,0.010908510518613,0.10602115341006,0.00873284748098299,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,266,187,"BandSMR"
"48",51,0,335,245,39.549650305343,35.4193090431335,0.0545359090596227,0.0302954152220068,0.656942029345609,0.84312592176279,0.0473159336616591,0.00888362052387307,0.0979117028891679,0.00729253475424154,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,268,182,"BandSMR"
"49",52,0,298,194,44.8139035953653,46.1886910960413,0.0875990152034116,0.0377612932222443,0.610125537503337,0.83355004820857,0.0415777232974312,0.0127583038525207,0.104922302566279,0.00819872841462509,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,277,177,"BandSMR"
"50",53,0,337,271,40.5205783946544,27.7157385733011,0.0853380578590092,0.0255734538325294,0.580642954716283,0.848713017661598,0.0386854074499315,0.0116108034905281,0.110173524727746,0.00655656211511131,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,269,179,"BandSMR"
"51",54,0,315,246,42.716479479112,37.5737969581912,0.0793690341866234,0.0308298299209499,0.580225136124806,0.887500802720798,0.042099071744454,0.0128164196050164,0.0928172325261252,0.00675966980358667,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,268,178,"BandSMR"
"52",55,0,361,244,35.1558923352902,36.2371863769135,0.0686050997565157,0.0348018980551642,0.586647215832075,0.826571154714261,0.0433744375934788,0.0103129564194545,0.0823625066592376,0.00709332192277675,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,269,176,"BandSMR"
"53",56,0,341,153,42.2128978810088,35.6409632173131,0.0565686934674446,0.0344660654838513,0.61610807090121,0.992793905944964,0.0573598147779576,0.00996465398969684,0.0981447400578466,0.00762028754600017,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,266,178,"BandSMR"
"54",57,0,372,230,28.7723343907929,39.0294406105923,0.0634238830593488,0.0483095509494907,0.618579159892588,0.693313024292021,0.0487662456161013,0.009970416894621,0.0755279119776334,0.00997650860273353,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,274,180,"BandSMR"
"55",58,0,354,229,35.7301531237964,44.2352510633807,0.0752609068267774,0.031581763364305,0.598137059458566,0.830209056399506,0.0372240716080317,0.0103972008581846,0.125613113101072,0.00794146258989996,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,271,180,"BandSMR"
"56",59,0,343,234,38.8913459448218,41.4908227886704,0.0570034516020521,0.0272099959452633,0.654286453004373,0.885203077745911,0.0490761216260408,0.00911411423560814,0.1235561774613,0.00733318933058093,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,275,174,"BandSMR"
"57",6,0,335,179,43.9373156495192,54.1437501238658,0.0525419324118718,0.0331893156822333,0.636618274510583,0.890831072430876,0.050290212687925,0.00908222729320243,0.172348345752586,0.0083795846497692,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,278,173,"BandSMR"
